"ID","WEIGHT"
2292301,"0.54"
2292531,"1.13"
2291761,"0.04"
2292025,"0.46"
2291895,"0.03"
2294787,"0.69"
2293816,"3.58"
2291902,"0.46"
2292138,"0.08"
2292086,"0.52"
2292298,"1.82"
2294809,"1.36"
2294842,"54.1"
2292759,"12.02"
2292258,"0.04"
2292484,"0.08"
2291640,"11.13"
2292431,"0.15"
2291814,"0.64"
2292107,"0.88"
2292492,"0.06"
2292532,"0.13"
2293173,"0.53"
2294822,"3.62"
452522,"4.17"
2292404,"0.04"
2294438,"4.39"
2294198,"2.21"
2293273,"0.64"
2293155,"3.29"
2292401,"1.27"
2292203,"0.07"
2292202,"0.11"
2292187,"1.68"
2292163,"2.33"
2292640,"2.28"
2294460,"179"
2292380,"1.17"
2291735,"0.03"
2293225,"9.75"
2291747,"9"
2292424,"0.58"
2291886,"0.05"
2292530,"1.75"
2294377,"4.84"
2291752,"0.02"
2291885,"0.05"
2291949,"1.01"
2292485,"1.65"
2292687,"0.91"
2292133,"0.07"
2293255,"20.47"
2293286,"14.9"
2292824,"5.16"
2294217,"62.04"
2292564,"0.51"
2292679,"0.35"
2292644,"0.78"
2294831,"2.45"
2292165,"0.11"
2294056,"1.78"
2292443,"30.24"
2292466,"2.21"
2292447,"30.24"
2292229,"0.12"
2292123,"0.09"
2291701,"0.01"
2291966,"0.07"
2293126,"4.72"
2293729,"0.46"
2292527,"81.21"
2294832,"1.33"
2292230,"0.24"
2292611,"2.01"
2292045,"0.47"
2292297,"0.45"
2292593,"6"
2292560,"8.72"
2292787,"8.01"
2292299,"19.61"
2294441,"28.25"
2292556,"0.14"
2292342,"0.64"
2293620,"1.16"
2294841,"54.1"
2291734,"0.04"
2293867,"28"
2292037,"0.06"
2294192,"47.38"
2294439,"6.83"
2293608,"0.16"
2293142,"0.44"
2292360,"0.3"
2293287,"17.58"
2291910,"0.05"
2294800,"2.22"
2292559,"8.5"
2292643,"378"
2294765,"0.4"
2292615,"0.21"
2292610,"0.26"
2292557,"259.36"
2293254,"26.15"
2292526,"0.06"
2292363,"0.05"
2293079,"31.25"
2292797,"6.51"
2292661,"2.23"
2292817,"2.19"
2292302,"19.61"
2292280,"0.37"
452493,"4.75"
2292733,"2.28"
2293727,"2.88"
2292660,"0.31"
2293818,"0.78"
2291831,"0.05"
2292639,"0.65"
2292442,"0.04"
2293064,"18.9"
2294296,"74.18"
2292228,"3.31"
2292659,"1.87"
2291871,"0.11"
2294853,"4.67"
2294461,"149"
2294778,"1.57"
2292594,"6.46"
2292578,"0.99"
2292590,"1.78"
2292577,"5.09"
2292359,"9.11"
450285,"4.74"
2291689,"0.06"
2292629,"1.29"
2292287,"0.1"
2292589,"0.12"
2293109,"0.47"
2294316,"111"
2292024,"0.06"
2294294,"83"
2292748,"17.03"
2292399,"1.57"
2292124,"0.5"
2292354,"0.03"
2292595,"0.71"
2292450,"0.49"
2294462,"149"
2292396,"0.06"
2292664,"0.41"
2292007,"0.68"
2293241,"0.27"
2292726,"1.23"
2292255,"1.2"
2294397,"155"
2294214,"70"
2292488,"2.31"
2291744,"0.02"
2291649,"7.36"
2292032,"0.06"
2291748,"9.68"
2292680,"1.74"
2292397,"56.08"
452065,"0.52"
2293124,"3.97"
2292361,"0.09"
2292362,"0.09"
2292403,"0.49"
2292562,"0.25"
2294897,"37.42"
2292303,"1"
2292563,"0.25"
2293204,"0.01"
2293238,"0.05"
2291642,"0.43"
2292490,"0.13"
452543,"0.04"
2293106,"0.01"
2292402,"1"
452544,"0.04"
2293170,"0.02"
2292515,"0.4"
2292254,"4.77"
2292304,"0.03"
